,repos/CamiWilliams/LevelUpRiddles-Workshop/Step 3 - Add APL,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
,repos/charliewynn/okc-trash-day,GiveAddressIntent,1,address,AMAZON.PostalAddress
,repos/codeforboston/voiceapp311,TrashDayIntent,1,Address,AMAZON.PostalAddress
,repos/codeforboston/voiceapp311,SnowParkingIntent,1,Address,AMAZON.PostalAddress
,repos/codeforboston/voiceapp311,VotingIntent,1,Address,AMAZON.PostalAddress
,repos/codeforboston/voiceapp311,CrimeIncidentsIntent,1,Address,AMAZON.PostalAddress
,repos/codeforboston/voiceapp311,FoodTruckIntent,1,Address,AMAZON.PostalAddress
,repos/cook-a-waffle/cake-walk-template,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/cook-a-waffle/cake-walk-template,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/cook-a-waffle/cake-walk-template,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/cook-a-waffle/zero-to-hero-tutorial,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/cook-a-waffle/zero-to-hero-tutorial,RegisterBirthdayIntent,1,month,MonthType
,repos/cook-a-waffle/zero-to-hero-tutorial,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/CORaleigh/alexa-cor-webhook,Recycling,1,promptedAddress,AMAZON.StreetAddress
,repos/dabblelab/1-alexa-basic-example-skill,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/dabblelab/4-alexa-session-attributes-example-skill,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/dabblelab/8-alexa-canfulfillintentrequest-example-skill,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/dabblelab/freecodecamp-livestream/freecodecamp-alexa-skill,HelloIntent,1,name,AMAZON.US_FIRST_NAME
,repos/devsoor/alexa/MusicSpot,UserFullnameIntent,1,fullname,AMAZON.Person
,repos/dhirajj14/illinois-tech-graduate-course-work/ITMT-593/final-assignment,NameIntent,1,name,AMAZON.FirstName
,repos/Dhruvj21/Alexa-Salon-Appointment-Skill,CustomerAuthenticationIntent,1,name,AMAZON.FirstName
,repos/DTS-STN/ServicePrototypeAlexaIntegration,CaptureNameIntent,1,name,AMAZON.Person
,repos/dylan-nogueras/GatoEncerrado_TFG/Skill_Alexa_Gato_encerrado_ES_EN,NewGameIntent,1,name,AMAZON.SearchQuery
,repos/dylan-nogueras/GatoEncerrado_TFG/Skill_Alexa_Gato_encerrado_ES_EN,ChangeNameIntent,1,name,AMAZON.SearchQuery
,repos/dylan-nogueras/GatoEncerrado_TFG/Skill_Alexa_Juego_inicial_ES_EN,NewGameIntent,1,name,AMAZON.SearchQuery
,repos/dylan-nogueras/GatoEncerrado_TFG/Skill_Alexa_Juego_inicial_ES_EN,ChangeNameIntent,1,name,AMAZON.SearchQuery
,repos/Ehabdiab2000/AEXA-Nurse-Skill-2,NameIntent,1,name,AMAZON.Person
,repos/Ehabdiab2000/AEXA-Nurse-Skill-2,AgeIntent,1,age,AMAZON.NUMBER
,repos/Ehabdiab2000/ALEXA-Nurse-Skill-1,NameIntent,1,name,AMAZON.FirstName
,repos/ehelbig1/cake_walk,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/ehelbig1/cake_walk,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/ehelbig1/cake_walk,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/feedm3/learning-alexa-skills-advanced-setup,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/felixreynoso/krello/amzn1.ask.skill.a5988adc-23db-448b-85d4-549f871c7ecc,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/felixreynoso/krello/amzn1.ask.skill.a5988adc-23db-448b-85d4-549f871c7ecc,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/felixreynoso/krello/amzn1.ask.skill.a5988adc-23db-448b-85d4-549f871c7ecc,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgarcialainez/Build-Engaging-Alexa-Skill-Tutorial,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/fgarcialainez/Build-Engaging-Alexa-Skill-Tutorial,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgarcialainez/Build-Engaging-Alexa-Skill-Tutorial,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/03,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/03,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/03,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/04,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/04,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/04,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/05,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/05,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/05,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/05_intent_chaining,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/05_intent_chaining,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/05_intent_chaining,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/06,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/06,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/06,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/07,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/07,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/07,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/08,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/08,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/08,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/09,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/09,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/09,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/10,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/10,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/10,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/fgozalof/CursodeAlexa/11,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/fgozalof/CursodeAlexa/11,RegisterBirthdayIntent,1,month,MonthType
,repos/fgozalof/CursodeAlexa/11,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/garrettmmoore/alexa-dice-game,AddUserIntent,1,FirstName,AMAZON.FirstName
,repos/germanviscuso/ASKVideoSeries/03,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/germanviscuso/ASKVideoSeries/03,RegisterBirthdayIntent,1,month,MonthType
,repos/germanviscuso/ASKVideoSeries/03,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
