skill,intent,slot_name,slot_type
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/28_ConfirmIntent Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/28_ConfirmIntent Directive,AddUserPrefrence,CountryName,AMAZON.Country
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/29_Obtain Device Information,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/30_Store data in DynamoDB,IntroWithAge,Age,AMAZON.NUMBER
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/30_Store data in DynamoDB,AddUserPrefrence,CountryName,AMAZON.Country
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/31_Account Linking,IntroWithAge,Age,AMAZON.NUMBER
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/31_Account Linking,AddUserPrefrence,CountryName,AMAZON.Country
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/32_State Management,PersonNameIntent,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/33_Use Multi language,PersonNameIntent,PersonName,AMAZON.Person
repos/miugel/guacRecruiter,GetNameIntent,name,AMAZON.US_FIRST_NAME
repos/MnHung/alexa-custom-skill-boilerplate,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/mobiletta/alexa/templates/skill-demo-dialog-delegate,PlanMyTripIntent,fromCity,AMAZON.US_CITY
repos/Mohammad-Khalid/UtilityCodeBase/alexa/dialogDelegate,PlanMyTripIntent,toCity,AMAZON.US_CITY
repos/monosay/monosay-nodejs/src/samples/simple/jovo,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/mori-c/voice-agent/jovo-cli,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/mpgoulet/get-me-watson,WatsonIntent,fromCity,AMAZON.US_CITY
repos/MrLordBrown/spirithuntz/.deploy/test/.ask/lambda,CatchAllSlotIntent,playerName,AMAZON.US_FIRST_NAME
repos/MrLordBrown/spirithuntz/.deploy/test/lambda,CatchAllSlotIntent,playerName,AMAZON.US_FIRST_NAME
repos/Nickeem/AlexaVisitorSkill,RecordNewVisitorIntent,phone_number,AMAZON.PhoneNumber
repos/nithinkumarhere/srskills,CountryRestrictions,country,AMAZON.Country
repos/nithinkumarhere/srskills,ExportLicense,country,AMAZON.Country
repos/NithishB/alexa-skill-1/alexa-leadership-skill-flow/alexa-hackathon/.deploy/alexa-hackathon/lambda/custom,CatchAllSlotIntent,playerName,AMAZON.US_FIRST_NAME
repos/npdevapp/alexa_resources/context/skill-events,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/npdevapp/alexa_resources/feature-demos/skill-demo-plan-my-trip,PlanMyTripIntent,fromCity,AMAZON.US_CITY
repos/ocelotconsulting/voice-framework-boilerplate,APhoneNumber,phoneNumber,AMAZON.PhoneNumber
repos/onumtiger/ultron,setupIntent,name,AMAZON.FirstName
repos/oren/fit-science,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/paulstuttard/DialOut,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/peabnuts123/alexa-skill-hackathon,WhoIntent,Name,AMAZON.US_FIRST_NAME
repos/Pindar/alexa-template,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/pohora/MulesoftHackathon2020/mulesofthackathon2020/movid_frontend,SymptomCheckerIntent,age,AMAZON.NUMBER
repos/pohora/MulesoftHackathon2020/mulesofthackathon2020/movid_frontend,SymptomCheckerIntent,gender,AMAZON.SearchQuery
repos/Preeti728/SoftWidget,PutSoftWidgerOrderModifyIntent,Address,AMAZON.StreetAddress
repos/Rafael-Z/amazon-alexa-skill-points-club/alexa-skill,RedeemFlightTicket,destination,AMAZON.US_CITY
repos/Rafael-Z/amazon-alexa-skill-points-club/alexa-skill,RedeemFlightTicket,origin,AMAZON.US_CITY
repos/rahulnagesh001/amzn1.ask.skill.0d43aa01-829a-4b70-a73f-a2200a69e939,SetMealIntent,companion,AMAZON.FirstName
repos/rahulnagesh001/food-recall-/amzn1.ask.skill.0e940367-f4aa-442f-a8c0-0cd0d278d299,SetFoodIntent,companion,AMAZON.FirstName
repos/rkj706/alexa,searchIntent,word,AMAZON.US_FIRST_NAME
repos/Robbie0723/Covid,GetCountryDataIntent,country,AMAZON.Country
repos/Robbie0723/Covid,GetStateDataIntent,state,AMAZON.US_STATE
repos/robertavram-md/alexa-hf,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/robm26/travel-browser,MyPhoneNumberIntent,mobileNumber,AMAZON.PhoneNumber
repos/rrigato/burnday,BurnStatusIntent,burn_location,AMAZON.NUMBER
repos/Ryguy11o/nurse_amie,NameIntent,name,AMAZON.FirstName
repos/samviz/alexa-cookbook-master/alexa-cookbook-master/context/skill-events,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/sarfaraz-alam-md/aws-ai-qna-bot/test/alexa/test,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/sheheryarwaseem6/Voice-Weather-App,WeatherAppIntent,city,AMAZON.City
repos/shkailas/TournamentApp,ReportLoss,loser,AMAZON.FirstName
repos/shkailas/TournamentApp,ReportWinner,winner,AMAZON.FirstName
repos/shrm-org/shrm-org-chatbot-v2/test/alexa/test,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/SmeechDE/smeech-wiki,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/spuder/alexa-astroprint,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/stammbach/jovo-hello-nested-components,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/surajraj99/Plaza-Business,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/tingiris/dabblelab-youtube-channel/2017-09-15-home-cards/demo-home-cards,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/tingiris/dabblelab-youtube-channel/2017-09-22-local-lambda-testing/hello-world,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/TrCaM/CUAsking/cu-asking,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/TrCaM/CUAsking/cu-asking,SignInIntent,username,AMAZON.US_FIRST_NAME
repos/uk-ar/alexa_convert,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/vincwang/alexa-covid19-tracker/source,CaptureStateIntent,state,AMAZON.US_STATE
repos/VinodhKotipalli/AlexaSkillsSchedulingAssistant,UpdateCalendarIntent,PhoneNumber,AMAZON.PhoneNumber
repos/VinodhKotipalli/AlexaSkillsSchedulingAssistant,CheckCalendarIntent,MeetingPerson,AMAZON.Person
repos/Voice-First-AI/write-by-voice/write-to-medium-by-voice,WriteByVoiceIntent,sentence,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.any'}"
repos/Voice-First-Tech/AirBnb-Dev-Quest/alex7li,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/AirBnb-Dev-Quest/crazzywizard-airbnb,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/AirBnb-Dev-Quest/getgrip-airbnb,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/AirBnb-Dev-Quest/patrick-sweetman,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/AirBnb-Dev-Quest/Randm25-airbnb,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/AirBnb-Dev-Quest/sweetmantech-airbnb,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/AirBnb-Dev-Quest/zack-airbnb,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/Smart-Lock/chinzoo-zack,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/Voice-First-Tech/Smart-Lock/dcopdycke,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/Smart-Lock/vipermark7,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/Voice-First-Tech/Smart-Lock/voice-first-tech,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/wrongholt/Powers,NameIntent,DEName,AMAZON.DE_FIRST_NAME
repos/wrongholt/Powers,NameIntent,GBName,AMAZON.GB_FIRST_NAME
repos/wrongholt/Powers,NameIntent,Name,AMAZON.FirstName
repos/yahoo/Makeskill/explorations/example_skills/SlotFilling_Study,FindMusicEventIntent,US_Cities,AMAZON.US_CITY
repos/ydsingh/alexa/feature-demos/skill-demo-dialog-delegate,PlanMyTripIntent,fromCity,AMAZON.US_CITY
repos/ydsingh/alexa/feature-demos/skill-demo-intent-chaining-auto-delegate,PlanMyTripIntent,fromCity,AMAZON.US_CITY
repos/ynishi/urbanpark-alexa,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
